Symbol,CMP,1_Day_Return_%,Last_Updated
360ONE,1024.5,-0.28,2026-03-16 15:17:46
3MINDIA,33000.0,0.05,2026-03-16 15:17:47
ABB,6217.5,-2.74,2026-03-16 15:17:48
ACC,1371.9,-0.33,2026-03-16 15:17:49
ACMESOLAR,245.11,-4.11,2026-03-16 15:17:50
AGI,506.35,-0.95,2026-03-16 15:17:51
AIAENG,3663.6,-0.05,2026-03-16 15:17:53
APLAPOLLO,1895.4,-1.96,2026-03-16 15:17:54
ASKAUTOLTD,407.8,1.37,2026-03-16 15:17:55
AUBANK,885.05,0.08,2026-03-16 15:17:56
AWL,172.31,-0.34,2026-03-16 15:17:57
AADHARHFC,478.95,4.18,2026-03-16 15:17:58
AARTIDRUGS,339.6,-2.34,2026-03-16 15:17:59
AARTIIND,425.6,1.15,2026-03-16 15:18:00
AARTIPHARM,633.5,-2.67,2026-03-16 15:18:01
AAVAS,1129.1,-3.48,2026-03-16 15:18:03
ABBOTINDIA,26675.0,-1.06,2026-03-16 15:18:04
ACE,818.65,-2.61,2026-03-16 15:18:05
ACUTAAS,2160.0,3.66,2026-03-16 15:18:06
ADANIENSOL,996.9,0.46,2026-03-16 15:18:07
ADANIENT,1978.0,0.86,2026-03-16 15:18:08
ADANIGREEN,865.85,0.52,2026-03-16 15:18:09
ADANIPORTS,1369.1,0.43,2026-03-16 15:18:10
ADANIPOWER,154.08,5.12,2026-03-16 15:18:12
ATGL,521.25,-7.89,2026-03-16 15:18:13
ABCAPITAL,314.35,1.16,2026-03-16 15:18:14
ABFRL,58.64,-1.08,2026-03-16 15:18:15
ABLBL,95.85,-1.61,2026-03-16 15:18:16
ABREL,1097.6,-3.21,2026-03-16 15:18:17
ABSLAMC,949.2,1.76,2026-03-16 15:18:18
ADVENZYMES,276.95,-0.13,2026-03-16 15:18:19
AEGISLOG,605.4,0.58,2026-03-16 15:18:20
AEGISVOPAK,189.01,-1.97,2026-03-16 15:18:22
AETHER,1025.65,2.52,2026-03-16 15:18:23
AFCONS,278.7,-0.05,2026-03-16 15:18:24
AFFLE,1312.5,-1.91,2026-03-16 15:18:25
AHLUCONT,733.45,-4.22,2026-03-16 15:18:26
AJANTPHARM,2950.0,-2.66,2026-03-16 15:18:27
AJAXENGG,475.6,3.27,2026-03-16 15:18:28
