Symbol,Industry,Qtr Profit Var %,QoQ profits %,QoQ sales %,OPM
360ONE,Financial Services,18.4,18.4,30.6,59.26
3MINDIA,Diversified,,,12.7,17.49
ABB,Capital Goods,-18.1,-18.1,5.7,14.24
ACC,Construction Materials,-63.0,-63.0,9.4,6.08
ACMESOLAR,Power,1.5,1.5,42.3,65.28
AIAENG,Capital Goods,13.6,13.6,0.1,24.58
APLAPOLLO,Capital Goods,42.9,42.9,7.0,7.09
AUBANK,Financial Services,26.3,26.3,27.8,32.34
AWL,Fast Moving Consumer Goods,-34.5,-34.5,10.3,2.38
AADHARHFC,Financial Services,17.5,17.5,20.0,64.92
AARTIIND,Chemicals,189.1,189.1,26.0,8.84
AAVAS,Financial Services,16.1,16.1,17.8,55.91
ABBOTINDIA,Healthcare,4.2,4.2,6.8,25.79
ACE,Capital Goods,4.2,4.2,-2.3,14.14
ADANIENSOL,Power,-1.7,-1.7,15.4,27.33
ADANIENT,Metals & Mining,9630.3,9630.3,8.6,9.15
ADANIGREEN,Power,,,10.7,51.76
ADANIPORTS,Services,21.2,21.2,21.9,45.36
ADANIPOWER,Power,-18.9,-18.9,-8.9,24.92
ATGL,Oil Gas & Consumable Fuels,11.4,11.4,16.4,16.1
ABCAPITAL,Financial Services,33.5,33.5,31.4,15.16
ABFRL,Consumer Services,,,-45.6,8.88
ABLBL,Consumer Services,14.4,14.4,9.6,8.88
ABREL,Forest Materials,,,-91.5,-131.62
ABSLAMC,Financial Services,20.1,20.1,16.3,64.43
AEGISLOG,Oil Gas & Consumable Fuels,42.3,42.3,1.1,14.16
AEGISVOPAK,Oil Gas & Consumable Fuels,62.7,62.7,22.3,48.46
AFCONS,Construction,-34.8,-34.8,-7.3,10.65
AFFLE,Information Technology,19.1,19.1,19.2,18.1
AJANTPHARM,Healthcare,17.6,17.6,20.0,24.64
AKUMS,Healthcare,1.7,1.7,14.8,9.25
AKZOINDIA,Consumer Durables,-31.6,-31.6,-13.6,12.97
APLLTD,Healthcare,-3.9,-3.9,10.8,11.37
ALKEM,Healthcare,1.6,1.6,10.7,19.61
ALKYLAMINE,Chemicals,-3.4,-3.4,-4.6,13.98
ALOKINDS,Textiles,,,-0.7,-7.58
ARE&M,Automobile and Auto Components,-53.0,-53.0,4.2,6.36
AMBER,Consumer Durables,,,37.9,5.26
AMBUJACEM,Construction Materials,-90.4,-90.4,10.2,3.83
ANANDRATHI,Financial Services,29.5,29.5,25.2,45.43
ANANTRAJ,Realty,30.8,30.8,20.0,24.36
ANGELONE,Financial Services,-4.5,-4.5,2.5,30.7
APARINDS,Capital Goods,19.4,19.4,16.2,7.37
APOLLOHOSP,Healthcare,34.9,34.9,17.2,11.52
APOLLOTYRE,Automobile and Auto Components,39.5,39.5,11.8,10.34
APTUS,Financial Services,24.0,24.0,26.0,78.06
ASAHIINDIA,Automobile and Auto Components,-5.6,-5.6,11.7,14.15
ASHOKLEY,Capital Goods,6.8,6.8,23.6,19.58
ASIANPAINT,Consumer Durables,-4.6,-4.6,3.7,16.55
ASTERDM,Healthcare,-7.6,-7.6,13.0,12.11
ASTRAZEN,Healthcare,5.6,5.6,38.9,6.7
ASTRAL,Capital Goods,-5.6,-5.6,10.3,10.63
ATHERENERG,Automobile and Auto Components,,,50.2,-10.74
ATUL,Chemicals,47.8,47.8,11.1,10.63
AUROPHARMA,Healthcare,7.6,7.6,8.4,15.14
AIIL,Financial Services,-70.2,-70.2,-42.1,78.85
DMART,Consumer Services,18.3,18.3,13.3,6.6
AXISBANK,Financial Services,4.0,4.0,5.7,47.46
BASF,Chemicals,3.0,3.0,2.8,3.53
BEML,Capital Goods,,,23.7,-1.63
BLS,Consumer Services,34.8,34.8,43.6,23.72
BSE,Financial Services,171.6,171.6,48.6,81.72
BAJAJ-AUTO,Automobile and Auto Components,25.2,25.2,23.1,24.32
BAJFINANCE,Financial Services,-6.3,-6.3,6.4,55.55
BAJAJFINSV,Financial Services,-0.1,-0.1,24.8,34.63
BAJAJHLDNG,Financial Services,15.3,15.3,89.9,83.7
BAJAJHFL,Financial Services,21.3,21.3,23.1,80.67
BALKRISIND,Automobile and Auto Components,-15.0,-15.0,6.9,16.36
BALRAMCHIN,Fast Moving Consumer Goods,61.0,61.0,22.0,10.82
BANDHANBNK,Financial Services,-51.8,-51.8,-12.8,13.05
BANKBARODA,Financial Services,4.4,4.4,4.3,41.84
BANKINDIA,Financial Services,6.7,6.7,8.9,44.3
MAHABANK,Financial Services,27.4,27.4,25.5,55.35
BATAINDIA,Consumer Durables,12.6,12.6,2.8,11.44
BAYERCROP,Chemicals,179.8,179.8,4.7,9.25
BERGEPAINT,Consumer Durables,-8.1,-8.1,0.3,12.43
BDL,Capital Goods,-50.4,-50.4,-31.9,1.18
BEL,Capital Goods,20.5,20.5,24.0,27.84
BHARATFORG,Automobile and Auto Components,24.2,24.2,25.0,11.54
BHEL,Capital Goods,189.8,189.8,16.4,5.51
BPCL,Oil Gas & Consumable Fuels,88.9,88.9,5.2,8.16
BHARTIARTL,Telecommunication,-55.1,-55.1,19.6,32.16
BHARTIHEXA,Telecommunication,81.6,81.6,4.8,30.73
BIKAJI,Fast Moving Consumer Goods,117.7,117.7,10.5,9.41
BIOCON,Healthcare,472.9,472.9,9.2,7.62
