Date,NIFTY_50,INDIA_VIX,RAW_RATIO,RATIO_OSCILLATOR
2015-01-02,8395.45,13.8,608.3659477736162,80.07
2015-01-09,8284.5,15.96,519.0789461277387,63.31
2015-01-16,8513.8,17.27,492.98202542085915,58.41
2015-01-23,8835.6,17.89,493.88484688755665,58.58
2015-01-30,8808.9,20.17,436.73278915740866,47.85
2015-02-06,8661.05,20.69,418.6104195807355,44.45
2015-02-13,8805.5,20.1,438.08456880019895,48.1
2015-02-20,8833.6,21.27,415.30791815994934,43.83
2015-02-27,8844.6,19.57,451.94684452213755,50.7
2015-03-06,8937.75,14.44,618.9577742191841,82.06
2015-03-13,8647.75,14.97,577.6720003837631,74.31
2015-03-20,8570.9,14.26,601.0448985313282,78.7
2015-03-27,8341.4,14.5,575.2689924568965,73.86
2015-04-03,8586.25,13.67,628.10899429986,83.78
2015-04-10,8780.35,14.26,615.7327817983836,81.46
2015-04-17,8606.0,15.04,572.2074482598392,73.28
2015-04-24,8305.25,19.11,434.60228857874483,47.45
2015-05-01,8181.5,17.23,474.8404072759541,55.0
2015-05-08,8191.5,19.11,428.6499078164761,31.61
2015-05-15,8262.35,19.82,416.86931062529857,5.82
2015-05-22,8458.95,16.95,499.0530864050272,31.82
2015-05-29,8433.65,16.66,506.2215166787679,34.09
2015-06-05,8114.7,18.09,448.57380469129737,15.85
2015-06-12,7982.9,17.48,456.68764939352207,18.42
2015-06-19,8224.95,15.09,545.0596495787275,43.37
2015-06-26,8381.1,15.76,531.795652770091,38.93
2015-07-03,8484.9,16.31,520.226895674809,35.07
2015-07-10,8360.55,17.07,489.7803136588512,24.89
2015-07-17,8609.85,14.8,581.7465877307868,55.63
2015-07-24,8521.55,15.46,551.1998566404201,45.42
2015-07-31,8532.85,14.57,585.6451467467203,56.93
2015-08-07,8564.6,14.91,574.4198321277338,53.18
2015-08-14,8518.55,16.02,531.7446667461991,38.92
2015-08-21,8299.95,17.11,485.0935066765003,23.32
2015-08-28,8001.95,23.33,342.9897223094959,0.0
2015-09-04,7655.05,26.42,289.7445035042297,0.0
2015-09-11,7789.3,24.98,311.8214550611703,5.2
2015-09-18,7981.9,18.29,436.4078459704994,34.53
2015-09-25,7868.5,20.88,376.8438848783513,20.51
2015-10-02,7950.9,19.24,413.2484405888156,29.08
2015-10-09,8189.7,18.93,432.63074819250255,33.64
2015-10-16,8238.15,16.27,506.3398991297473,50.99
2015-10-23,8295.45,16.19,512.3810946060206,52.41
2015-10-30,8065.8,17.88,451.1073928004413,37.99
2015-11-06,7954.3,19.47,408.5413500364963,27.97
2015-11-13,7762.25,17.65,439.78754491589996,35.32
2015-11-20,7856.55,15.9,494.1226410805238,48.12
2015-11-27,7942.7,16.73,474.75794456900417,43.56
2015-12-04,7781.9,16.09,483.6482180574822,57.31
2015-12-11,7610.45,17.18,442.9831234065646,45.29
2015-12-18,7761.95,14.49,535.6763504430012,72.68
2015-12-25,7861.05,13.75,571.7127130681819,83.33
2016-01-01,7946.35,13.87,572.9163780260509,83.69
2016-01-08,7601.35,17.8,427.04215862154837,40.58
2016-01-15,7437.8,19.42,382.99689883970933,27.56
2016-01-22,7422.45,18.82,394.391621449058,30.93
2016-01-29,7563.55,17.24,438.72099217533446,44.03
2016-02-05,7489.1,18.11,413.53395059387947,36.58
2016-02-12,6980.95,24.67,282.9732539004197,0.0
2016-02-19,7210.75,20.92,344.68212111390255,17.88
2016-02-26,7029.75,21.87,321.433458172945,11.14
2016-03-04,7485.35,17.88,418.6437611295345,39.31
2016-03-11,7510.2,17.1,439.1929840803317,45.26
2016-03-18,7604.35,16.38,464.2460614937149,52.52
2016-03-25,7716.5,16.35,471.9571755328823,54.76
2016-04-01,7713.05,17.28,446.35703114574363,49.1
2016-04-08,7555.2,16.43,459.84175623736655,58.44
2016-04-15,7850.45,16.04,489.4295353632405,68.21
2016-04-22,7899.3,16.38,482.25276003724804,65.84
2016-04-29,7849.8,16.54,474.59488332423865,63.31
2016-05-06,7733.45,16.95,456.25072844960584,57.25
2016-05-13,7814.9,17.0,459.6999942555147,58.39
2016-05-20,7749.7,16.43,471.6798570521747,62.35
2016-05-27,8156.65,15.26,534.5117811273731,83.11
2016-06-03,8220.8,15.0,548.0533203125,87.58
2016-06-10,8170.05,15.97,511.5873304996208,75.53
2016-06-17,8170.2,17.35,470.90490003899345,62.09
2016-06-24,8088.6,18.63,434.1707172317132,49.95
2016-07-01,8328.35,15.74,529.1200591156907,81.32
2016-07-08,8323.2,15.08,551.9363552667044,88.86
2016-07-15,8541.4,15.64,546.1253326808022,86.94
2016-07-22,8541.2,15.5,551.045173891129,88.57
2016-07-29,8638.5,14.92,578.9879326961612,100.0
2016-08-05,8683.15,14.35,605.0975721114003,100.0
2016-08-12,8592.15,14.21,604.6551982800306,99.86
2016-08-19,8666.9,14.54,596.0729307677701,97.2
2016-08-26,8572.55,13.57,631.728076453619,100.0
2016-09-02,8809.65,12.94,680.8076256803129,100.0
2016-09-09,8866.7,13.23,670.1965610056038,97.33
2016-09-16,8779.85,14.58,602.1844756733902,80.24
2016-09-23,8831.55,13.25,666.5320607311321,96.41
2016-09-30,8611.15,17.18,501.23109648785845,54.86
2016-10-07,8697.6,14.49,600.2484297281547,79.75
2016-10-14,8583.4,14.89,576.4540089130438,73.77
2016-10-21,8693.05,13.83,628.5647037341419,86.87
2016-10-28,8638.0,14.65,589.6245887320089,77.08
2016-11-04,8433.75,16.85,500.5192765024955,54.68
2016-11-11,8296.3,17.36,477.89743738491086,49.0
2016-11-18,8074.1,17.81,453.3464536647601,42.83
2016-11-25,8114.3,17.61,460.77794000289407,44.69
2016-12-02,8086.8,17.93,451.020617236304,42.24
