Sort_Order,Ticker,Action,Date,Price,Quantity,Reason,RSI,3M Return,6M Return,9M Return,RS,ST Value,ST Dir,Return %,PnL ₹,Holding Days
1,GVT&D.NS,SOLD,2026-03-24,3586.98,4,"Close < ST(15,3) (T-1)",64.96,29.65,35.81,96.97,99.0,3287.9,Up,-3.48,-518.06,28.0
2,KIRLOSENG.NS,SOLD,2026-03-24,1303.35,11,"Close < ST(15,3) (T-1)",68.24,26.69,57.66,56.58,99.0,1273.37,Up,-8.02,-1250.69,19.0
3,MCX.NS,SOLD,2026-03-24,2371.88,6,"Close < ST(15,3) (T-1)",61.88,24.58,68.58,81.51,99.0,2250.9,Up,-9.4,-1476.86,14.0
4,NATIONALUM.NS,SOLD,2026-03-24,356.76,42,"Close < ST(15,3) (T-1)",61.97,42.08,87.79,112.77,99.0,352.76,Up,-8.98,-1478.1,14.0
5,CHENNPETRO.NS,BOUGHT,2026-03-20,1022.29,16,Active Open Position,59.74,11.64,35.7,60.12,99.0,898.38,Up,,,
6,VEDL.NS,SOLD,2026-03-20,666.65,23,"Close < ST(15,3) (T-1)",58.36,36.13,64.07,65.05,99.0,668.87,Up,-6.45,-1056.74,11.0
7,GESHIP.NS,BOUGHT,2026-03-16,1457.25,11,Active Open Position,67.51,33.23,47.8,51.02,99.0,1335.07,Up,,,
8,BHARATFORG.NS,SOLD,2026-03-16,1666.72,8,"Close < ST(15,3) (T-1)",69.01,28.53,66.42,48.42,98.0,1778.93,Up,-12.71,-1942.2,11.0
9,MCX.NS,BOUGHT,2026-03-10,2618.02,6,Entry,61.88,24.58,68.58,81.51,99.0,2250.9,Up,,,
10,NATIONALUM.NS,BOUGHT,2026-03-10,391.95,42,Entry,61.97,42.08,87.79,112.77,99.0,352.76,Up,,,
11,FEDERALBNK.NS,SOLD,2026-03-10,275.86,56,"Close < ST(15,3) (T-1)",60.51,18.89,37.43,48.43,96.0,267.29,Up,-6.64,-1097.95,35.0
12,KARURVYSYA.NS,SOLD,2026-03-10,295.42,52,"Close < ST(15,3) (T-1)",67.59,21.63,37.11,64.42,97.0,273.57,Up,-6.39,-1048.03,35.0
13,VEDL.NS,BOUGHT,2026-03-09,712.6,23,Entry,58.36,36.13,64.07,65.05,99.0,668.87,Up,,,
14,ASHOKLEY.NS,SOLD,2026-03-09,189.5,87,"Close < ST(15,3) (T-1)",74.35,35.43,49.67,90.05,99.0,176.95,Up,-0.57,-94.0,56.0
15,BHARATFORG.NS,BOUGHT,2026-03-05,1909.5,8,Entry,69.01,28.53,66.42,48.42,98.0,1778.93,Up,,,
16,KIRLOSENG.NS,BOUGHT,2026-03-05,1417.05,11,Entry,68.24,26.69,57.66,56.58,99.0,1273.37,Up,,,
17,CUB.NS,SOLD,2026-03-05,263.63,55,"Close < ST(15,3) (T-1)",58.49,26.46,39.3,63.5,98.0,270.98,Up,-12.12,-2000.2,29.0
18,SHRIRAMFIN.NS,SOLD,2026-03-05,1017.19,16,"Close < ST(15,3) (T-1)",64.43,40.27,53.44,44.05,99.0,949.84,Up,0.09,14.92,37.0
19,GVT&D.NS,BOUGHT,2026-02-24,3716.49,4,Entry,64.96,29.65,35.81,96.97,99.0,3287.9,Up,,,
20,JKTYRE.NS,SOLD,2026-02-24,529.89,30,"Close < ST(15,3) (T-1)",63.71,21.4,53.52,68.38,98.0,478.31,Up,-3.26,-535.13,21.0
21,CUB.NS,BOUGHT,2026-02-04,299.99,55,Entry,58.49,26.46,39.3,63.5,98.0,270.98,Up,,,
